Player ,Team,DTRG,Rank
Rudy Gobert,Jazz,103.2,1
Al Horford ,Celtics,104.3,2
Joel Embiid,Sixers,105.3,3
Nikola Jokic ,Nuggets,105.3,4
Jaren Jackson Jr,Grizzilies ,105.8,5
Jayson Tatum ,Celtics ,106.3,6
Giannis Antetokounmpo,Bucks ,106.3,7
Luka Doncic ,Mavericks ,106.5,8
Chris Paul ,Suns ,106.5,9
Marcus Smart ,Celtics ,107.1,10
Evan Mobley ,Cavaliers,107.3,11
Jaylon Brown ,Celtics ,107.5,12
Stephen Curry ,Warriors ,107.6,13
Andrew Wiggins ,Warriors ,108.4,14
Dejounte Murray ,Spurs,108.5,15
Devin Booker ,Suns ,108.8,16
Clint Capela,Hawks ,109.3,17
Julius Randle ,Knicks ,109.4,18
Mikal Bridges ,Suns ,109.6,19
Nikola Vucevic,Bulls ,109.6,20
Bobby Portis,Bucks ,109.7,21
Karl-Anthony Towns ,Timbewolves,109.8,22
Jordan Poole ,Warriors ,109.9,23
Pascal Siakam,Raptors ,110,24
Kyle Lowry ,Heat,110.1,25